Gene_original,Gene_limpo,ENTREZID
C8B,C8B,732
C8G,C8G,733
CAPN1,CAPN1,823
TUBB,TUBB,203068
CA3,CA3,761
DCN,DCN,1634
PSAP,PSAP,5660
HEXB,HEXB,3074
CTSL,CTSL,1514
PFN1,PFN1,5216
BPGM,BPGM,669
APRT,APRT,353
EPRS1,EPRS1,2058
CTSB,CTSB,1508
HSP90AA1,HSP90AA1,3320
GALT,GALT,2592
HNRNPC,HNRNPC,3183
UQCRH,UQCRH,7388
LAMB1,LAMB1,3912
YES1,YES1,7525
LYN,LYN,4067
TPM2,TPM2,7169
FH,FH,2271
ERCC1,ERCC1,2067
THBS1,THBS1,7057
COL1A2,COL1A2,1278
ANXA6,ANXA6,309
RHOC,RHOC,389
NGFR,NGFR,4804
ABCB1,ABCB1,5243
SERPINA6,SERPINA6,866
SLC3A2,SLC3A2,6520
GUSB,GUSB,2990
PFKM,PFKM,5213
HSP90AB1,HSP90AB1,3326
SRPRA,SRPRA,6734
ASNS,ASNS,440
ELANE,ELANE,1991
SYP,SYP,6855
MMP2,MMP2,4313
SOD3,SOD3,6649
HMBS,HMBS,3145
MGP,MGP,4256
ITGA2B,ITGA2B,3674
PDHA1,PDHA1,5160
PLEK,PLEK,5341
CD14,CD14,929
COL4A2,COL4A2,1284
CYC1,CYC1,1537
PTPRC,PTPRC,5788
SNRPB2,SNRPB2,6629
CFH,CFH,3075
SNRNP70,SNRNP70,6625
FCGR3A,FCGR3A,2214
ITGA5,ITGA5,3678
NFIC,NFIC,4782
VIM,VIM,7431
SERPINF2,SERPINF2,5345
RPS17,RPS17,6218
GNAI3,GNAI3,2773
KRT16,KRT16,3868
RPSA,RPSA,3921
CD63,CD63,967
MRPL3,MRPL3,11222
SNRPA,SNRPA,6626
FGF2,FGF2,2247
ENO2,ENO2,2026
ACAA1,ACAA1,30
SRP19,SRP19,6728
SNRPC,SNRPC,6631
LGALS1,LGALS1,3956
QDPR,QDPR,5860
HMGB1,HMGB1,3146
RBP1,RBP1,5947
FBP1,FBP1,2203
GNAO1,GNAO1,2775
SPARC,SPARC,6678
GSTM1,GSTM1,2944
TPM1,TPM1,7168
CLTA,CLTA,1211
CLTB,CLTB,1212
ANXA4,ANXA4,307
CNP,CNP,1267
HMOX1,HMOX1,3162
PDGFRB,PDGFRB,5159
DLD,DLD,1738
HNRNPA1,HNRNPA1,3178
SNRPA1,SNRPA1,6627
CTSH,CTSH,1512
COX6C,COX6C,1345
C1S,C1S,716
PARP1,PARP1,142
POLA1,POLA1,5422
IFIT2,IFIT2,3433
IFIT1,IFIT1,3434
ALOX5,ALOX5,240
UCHL1,UCHL1,7345
LTA4H,LTA4H,4048
ALDOC,ALDOC,230
C4A,C4A,720
C4B,C4B,721
JMJD7,JMJD7,100137047
LYNX1,LYNX1,66004
POLR1D,POLR1D,51082
GATD3,GATD3,8209
ZFTRAF1,ZFTRAF1,50626
RAP2A,RAP2A,5911
RO60,RO60,6738
GAA,GAA,2548
RRAS,RRAS,6237
HLA-C,HLA-C,3107
ARAF,ARAF,369
H1-4,H1-4,3008
BCL2,BCL2,596
SPP1,SPP1,6696
DLAT,DLAT,1737
PTPRF,PTPRF,5792
COX5B,COX5B,1329
CTSA,CTSA,5476
MGST1,MGST1,4257
C7,C7,730
PRKAR1A,PRKAR1A,5573
CHGA,CHGA,1113
ESD,ESD,2098
HSPD1,HSPD1,3329
CLU,CLU,1191
HSPA5,HSPA5,3309
LAMC1,LAMC1,3915
ACP2,ACP2,53
MAP2,MAP2,4133
HSPA8,HSPA8,3312
SLC2A1,SLC2A1,6513
SLC2A3,SLC2A3,6515
EPB41,EPB41,2035
UMPS,UMPS,7372
PDHB,PDHB,5162
DBT,DBT,1629
ITGAM,ITGAM,3684
PYGB,PYGB,5834
PYGM,PYGM,5837
RALA,RALA,5898
RALB,RALB,5899
BCR,BCR,613
SPTB,SPTB,6710
LAMP1,LAMP1,3916
ACADM,ACADM,34
TOP1,TOP1,7150
TOP2A,TOP2A,7153
G6PD,G6PD,2539
UBL4A,UBL4A,8266
PC,PC,5091
DMD,DMD,1756
MTHFD1,MTHFD1,4522
IGF2R,IGF2R,3482
ADH5,ADH5,128
CDK4,CDK4,1019
PRPS2,PRPS2,5634
PABPC1,PABPC1,26986
PCNA,PCNA,5111
NEFH,NEFH,4744
COL11A1,COL11A1,1301
COL6A1,COL6A1,1291
COL6A2,COL6A2,1292
COL6A3,COL6A3,1293
SLC25A4,SLC25A4,291
SLC25A6,SLC25A6,293
IMPDH2,IMPDH2,3615
TPR,TPR,7175
RLBP1,RLBP1,6017
CKB,CKB,1152
FCGR1A,FCGR1A,2209
ANXA3,ANXA3,306
CKMT1A,CKMT1A,548596
BCKDHA,BCKDHA,593
ACTN1,ACTN1,87
ACE,ACE,1636
SRC,SRC,6714
PEPD,PEPD,5184
XRCC6,XRCC6,2547
XRCC5,XRCC5,7520
UNG,UNG,7374
COX4I1,COX4I1,1327
LAMP2,LAMP2,3920
RNH1,RNH1,6050
CYBA,CYBA,1535
NCAM1,NCAM1,4684
VCAN,VCAN,1462
ATP1A3,ATP1A3,478
EEF2,EEF2,1938
KRT5,KRT5,3852
PDIA4,PDIA4,9601
C6,C6,729
P4HA1,P4HA1,5033
TPT1,TPT1,7178
ALAD,ALAD,210
F3,F3,2152
LCP1,LCP1,3936
PLS3,PLS3,5358
APEH,APEH,327
ETFA,ETFA,2108
GYS1,GYS1,2997
PRKAR2A,PRKAR2A,5576
GTF2F2,GTF2F2,2963
CD59,CD59,966
GFAP,GFAP,2670
MIF,MIF,4282
CD99,CD99,4267
PRKCSH,PRKCSH,5589
HCLS1,HCLS1,3059
FDPS,FDPS,2224
TRIM27,TRIM27,5987
COX7A2,COX7A2,1347
ATP1B2,ATP1B2,482
NID1,NID1,4811
AKR1A1,AKR1A1,10327
PKM,PKM,5315
ACYP2,ACYP2,98
HSP90B1,HSP90B1,7184
MYL6B,MYL6B,140465
IDE,IDE,3416
COX6B1,COX6B1,1340
HNRNPL,HNRNPL,3191
DARS1,DARS1,1615
DAO,DAO,1610
JUP,JUP,3728
UQCRB,UQCRB,7381
GLUL,GLUL,2752
AKR1B1,AKR1B1,231
ANPEP,ANPEP,290
PVR,PVR,5817
RAC2,RAC2,5880
GSPT1,GSPT1,2935
PGAM2,PGAM2,5224
ARSA,ARSA,410
B4GALT1,B4GALT1,2683
EZR,EZR,7430
FOLR1,FOLR1,2348
UCHL3,UCHL3,7347
ELN,ELN,2006
NME1,NME1,4830
GNS,GNS,2799
ARSB,ARSB,411
RPS2,RPS2,6187
CHN1,CHN1,1123
TCF4,TCF4,6925
DSP,DSP,1832
RPA2,RPA2,6118
CD44,CD44,960
H2AX,H2AX,3014
ACAN,ACAN,176
ITGB4,ITGB4,3691
CBR1,CBR1,873
ANK1,ANK1,286
ACADS,ACADS,35
CREB1,CREB1,1385
GLB1,GLB1,2720
PECAM1,PECAM1,5175
PPP3CB,PPP3CB,5532
NCK1,NCK1,4690
GCFC2,GCFC2,6936
H1-5,H1-5,3009
H1-3,H1-3,3007
H1-2,H1-2,3006
POR,POR,5447
EPB42,EPB42,2038
MGMT,MGMT,4255
FER,FER,2241
ATP2A2,ATP2A2,488
CD36,CD36,948
CPE,CPE,1363
PLCG2,PLCG2,5336
FAH,FAH,2184
STMN1,STMN1,3925
YBX3,YBX3,8531
ZNF22,ZNF22,7570
NAGA,NAGA,4668
HMGA1,HMGA1,3159
TMEM11,TMEM11,8834
GOT1,GOT1,2805
PRKCA,PRKCA,5578
ITGA2,ITGA2,3673
GJA1,GJA1,2697
UBTF,UBTF,7343
NDUFB7,NDUFB7,4713
SYN1,SYN1,6853
PRKACA,PRKACA,5566
CAPN2,CAPN2,824
KCNA6,KCNA6,3742
GAP43,GAP43,2596
PTPN2,PTPN2,5771
CTPS1,CTPS1,1503
ENG,ENG,2022
DDX5,DDX5,1655
PFKL,PFKL,5211
GM2A,GM2A,2760
LGALS3,LGALS3,3958
SPI1,SPI1,6688
FLT1,FLT1,2321
PSMC3,PSMC3,5702
TCP1,TCP1,6950
PTPN1,PTPN1,5770
IGFBP2,IGFBP2,3485
RPL35A,RPL35A,6165
ITGB5,ITGB5,3693
ARF4,ARF4,378
RPL7,RPL7,6129
VCL,VCL,7414
LBP,LBP,3929
PTPRA,PTPRA,5786
SON,SON,6651
NELFE,NELFE,7936
RPL17,RPL17,6139
PGAM1,PGAM1,5223
RCC1,RCC1,1104
LIG1,LIG1,3978
XRCC1,XRCC1,7515
PAM,PAM,5066
CDH2,CDH2,1000
GNAZ,GNAZ,2781
PLCG1,PLCG1,5335
CD58,CD58,965
NCL,NCL,4691
HK1,HK1,3098
POLR2C,POLR2C,5432
POLR2E,POLR2E,5434
NDUFV2,NDUFV2,4729
ERCC3,ERCC3,2071
TRIM21,TRIM21,6737
EIF2AK2,EIF2AK2,5610
SRM,SRM,6723
ORM2,ORM2,5005
CSNK2A2,CSNK2A2,1459
ITIH2,ITIH2,3698
ITIH1,ITIH1,3697
NFKB1,NFKB1,4790
TYMP,TYMP,1890
ATP2B1,ATP2B1,490
HLA-DPA1,HLA-DPA1,3113
EIF2S2,EIF2S2,8894
ANXA7,ANXA7,310
SDS,SDS,10993
AZU1,AZU1,566
TBP,TBP,6908
BTF3,BTF3,689
ALOX5AP,ALOX5AP,241
RAB3A,RAB3A,5864
RAB4A,RAB4A,5867
RAB5A,RAB5A,5868
RAB6A,RAB6A,5870
MSH3,MSH3,4437
MX1,MX1,4599
PSMB1,PSMB1,5689
M6PR,M6PR,4074
ATP4A,ATP4A,495
COX5A,COX5A,9377
LMNB1,LMNB1,4001
ITGAX,ITGAX,3687
OGN,OGN,4969
CAST,CAST,831
COL5A1,COL5A1,1289
AGA,AGA,175
RASA1,RASA1,5921
PTMS,PTMS,5763
PTN,PTN,5764
GSTM3,GSTM3,2947
ATP6V1B2,ATP6V1B2,526
ATP6V1C1,ATP6V1C1,528
CSRP1,CSRP1,1465
FLNA,FLNA,2316
NF1,NF1,4763
MAOA,MAOA,4128
ACO1,ACO1,48
S1PR1,S1PR1,1901
SYT1,SYT1,6857
KITLG,KITLG,4254
NT5E,NT5E,4907
GPD1,GPD1,2819
MDK,MDK,4192
VDAC1,VDAC1,7416
BGN,BGN,633
SDHB,SDHB,6390
CD9,CD9,928
BCKDHB,BCKDHB,594
COMT,COMT,1312
TGM2,TGM2,7052
MMUT,MMUT,4594
OSBP,OSBP,5007
PCMT1,PCMT1,5110
FBL,FBL,2091
RPS4Y1,RPS4Y1,6192
GART,GART,2618
TNXB,TNXB,7148
PAICS,PAICS,10606
SCP2,SCP2,6342
UBA1,UBA1,7317
GPX3,GPX3,2878
NME2,NME2,4831
FDXR,FDXR,2232
PRKACG,PRKACG,5568
HNRNPA2B1,HNRNPA2B1,3181
RFX1,RFX1,5989
CALB2,CALB2,794
CBL,CBL,867
PRKACB,PRKACB,5567
UQCRC2,UQCRC2,7385
SLC2A5,SLC2A5,6518
CA4,CA4,762
CPN2,CPN2,1370
FECH,FECH,2235
MRC1,MRC1,4360
IGHV1-2,IGHV1-2,28474
CES1,CES1,1066
FBLN1,FBLN1,2192
TCEA1,TCEA1,6917
ITGA6,ITGA6,3655
SFPQ,SFPQ,6421
TUBG1,TUBG1,7283
PPIB,PPIB,5479
S100A1,S100A1,6271
ME2,ME2,4200
GLDC,GLDC,2731
WARS1,WARS1,7453
RPS3,RPS3,6188
GCSH,GCSH,2653
RPS6KB1,RPS6KB1,6198
JAK1,JAK1,3716
PTPRD,PTPRD,5789
PTPRE,PTPRE,5791
PTPRG,PTPRG,5793
PTPRZ1,PTPRZ1,5803
SP100,SP100,6672
MCC,MCC,4163
OMG,OMG,4974
AHCY,AHCY,191
CFL1,CFL1,1072
EIF4B,EIF4B,1975
ATP2B4,ATP2B4,493
DGKA,DGKA,1606
CPT2,CPT2,1376
DTYMK,DTYMK,1841
RRM1,RRM1,6240
LAMA2,LAMA2,3908
PRTN3,PRTN3,5657
GPT,GPT,2875
COX7B,COX7B,1349
CHM,CHM,1121
KDELR1,KDELR1,10945
EEF1B2,EEF1B2,1933
ATP5PB,ATP5PB,515
TBXAS1,TBXAS1,6916
IGFBP5,IGFBP5,3488
ACP1,ACP1,52
ACAT1,ACAT1,38
TNC,TNC,3371
MYL9,MYL9,10398
POLR2A,POLR2A,5430
CDK2,CDK2,1017
APC,APC,324
GRK2,GRK2,156
MCM3,MCM3,4172
AZGP1,AZGP1,563
MPST,MPST,4357
LAMA1,LAMA1,284217
RPS12,RPS12,6206
FAS,FAS,355
YY1,YY1,7528
DNAJB1,DNAJB1,3337
DNAJB2,DNAJB2,3300
ATP5F1A,ATP5F1A,498
MT3,MT3,4504
CTSS,CTSS,1520
PSMA1,PSMA1,5682
PSMA2,PSMA2,5683
PSMA3,PSMA3,5684
PSMA4,PSMA4,5685
ITGA3,ITGA3,3675
ITGB8,ITGB8,3696
PTX3,PTX3,5806
MSN,MSN,4478
PTPN3,PTPN3,5774
DDX6,DDX6,1656
CTNNA2,CTNNA2,1496
DNMT1,DNMT1,1786
U2AF2,U2AF2,11338
RPL13,RPL13,6137
ELAVL4,ELAVL4,1996
IVD,IVD,3712
S100A4,S100A4,6275
MGAT1,MGAT1,4245
HMGB2,HMGB2,3148
PTBP1,PTBP1,5725
TARS1,TARS1,6897
VARS1,VARS1,7407
EEF1G,EEF1G,1937
FKBP2,FKBP2,2286
CNTFR,CNTFR,1271
STOM,STOM,2040
AK4,AK4,205
PON1,PON1,5444
MAOB,MAOB,4129
YWHAQ,YWHAQ,10971
MAPK3,MAPK3,5595
MARK3,MARK3,4140
CERS1,CERS1,10715
RPL10,RPL10,6134
RPA1,RPA1,6117
APEX1,APEX1,328
CD82,CD82,3732
DCK,DCK,1633
CAD,CAD,790
CALR,CALR,811
MAP4,MAP4,4134
CANX,CANX,821
PIK3R1,PIK3R1,5295
ITPKB,ITPKB,3707
PSMB8,PSMB8,5696
PSMB9,PSMB9,5698
PSMA5,PSMA5,5686
PSMB4,PSMB4,5692
PSMB6,PSMB6,5694
PSMB5,PSMB5,5693
GSTM2,GSTM2,2946
ABCD3,ABCD3,5825
TMOD1,TMOD1,7111
ITPRID2,ITPRID2,6744
LOX,LOX,4015
NDUFS1,NDUFS1,4719
POLD1,POLD1,5424
SMARCA1,SMARCA1,6594
MAPK1,MAPK1,5594
GCA,GCA,25801
GRN,GRN,2896
PTPRM,PTPRM,5797
LAP3,LAP3,51056
CD38,CD38,952
GTF2E2,GTF2E2,2961
TPP2,TPP2,7174
IMPA1,IMPA1,3612
CCN2,CCN2,1490
EPHA2,EPHA2,1969
EPHB2,EPHB2,2048
PTPN6,PTPN6,5777
SHC1,SHC1,6464
MPG,MPG,4350
CRABP2,CRABP2,1382
TKT,TKT,7086
CASP1,CASP1,834
LMOD1,LMOD1,25802
RBMS1,RBMS1,5937
PML,PML,5371
TYK2,TYK2,7297
SERPINA4,SERPINA4,5267
EEF1D,EEF1D,1936
OAS2,OAS2,4939
MARCKS,MARCKS,4082
AQP1,AQP1,358
GNA11,GNA11,2767
ALDH4A1,ALDH4A1,8659
PBLD,PBLD,64081
ERP29,ERP29,10961
PRDX6,PRDX6,9588
BLVRB,BLVRB,645
PRDX5,PRDX5,25824
DDT,DDT,1652
PRDX3,PRDX3,10935
ATP5F1D,ATP5F1D,513
RPL12,RPL12,6136
ECHS1,ECHS1,1892
CMPK1,CMPK1,51727
PEBP1,PEBP1,5037
PDIA3,PDIA3,2923
PPP2R1A,PPP2R1A,5518
CDC27,CDC27,996
FCER1G,FCER1G,2207
PPIF,PPIF,10105
NMT1,NMT1,4836
HMOX2,HMOX2,3163
ADSS2,ADSS2,159
SLC6A1,SLC6A1,6529
LRPAP1,LRPAP1,4043
TSPO,TSPO,706
OXTR,OXTR,5021
ADSL,ADSL,158
PKLR,PKLR,5313
CLIP1,CLIP1,6249
SRI,SRI,6717
GSTT1,GSTT1,2952
SERPINB1,SERPINB1,1992
SLC7A1,SLC7A1,6541
ALDH1B1,ALDH1B1,219
ALDH3A1,ALDH3A1,218
SSTR2,SSTR2,6752
POLR2B,POLR2B,5431
SDHA,SDHA,6389
CORO1A,CORO1A,11151
GDI1,GDI1,2664
S100A7,S100A7,6278
MAT2A,MAT2A,4144
PRKAR2B,PRKAR2B,5577
SDC4,SDC4,6385
TIA1,TIA1,7072
DNAJA1,DNAJA1,3301
AKT1,AKT1,207
AKT2,AKT2,208
UQCRC1,UQCRC1,7384
HIBADH,HIBADH,11112
ATIC,ATIC,471
HNRNPH3,HNRNPH3,3189
HNRNPH1,HNRNPH1,3187
CASP14,CASP14,23581
YWHAB,YWHAB,7529
SFN,SFN,2810
STIP1,STIP1,10963
S100A11,S100A11,6282
L1CAM,L1CAM,3897
PRDX2,PRDX2,7001
ARRB2,ARRB2,409
OTX2,OTX2,5015
DCTD,DCTD,1635
PYCR1,PYCR1,5831
GBP1,GBP1,2633
GBP2,GBP2,2634
STX2,STX2,2054
RPL9,RPL9,6133
ACSL1,ACSL1,2180
KIF5B,KIF5B,3799
CSTF2,CSTF2,1478
LSP1,LSP1,4046
DUT,DUT,1854
GUCY1A2,GUCY1A2,2977
ABCC1,ABCC1,4363
ABCD1,ABCD1,215
KDELR2,KDELR2,11014
MCM4,MCM4,4173
MCM5,MCM5,4174
MCM7,MCM7,4176
RNASE4,RNASE4,6038
SDC2,SDC2,6383
SHMT1,SHMT1,6470
SHMT2,SHMT2,6472
EPHX2,EPHX2,2053
HSPA4,HSPA4,3308
MPI,MPI,4351
GPC1,GPC1,2817
PFN2,PFN2,5217
CTNNA1,CTNNA1,1495
CTNNB1,CTNNB1,1499
PHB1,PHB1,5245
SERPINB6,SERPINB6,5269
NF2,NF2,4771
RDX,RDX,5962
RPA3,RPA3,6119
RFC4,RFC4,5984
RFC2,RFC2,5982
RFC1,RFC1,5981
RPL22,RPL22,6146
GTF2F1,GTF2F1,2962
SPR,SPR,6697
THBS4,THBS4,7060
IDUA,IDUA,3425
CBS,CBS,875
SAA4,SAA4,6291
FBN1,FBN1,2200
FBN2,FBN2,2201
AGL,AGL,178
MYH9,MYH9,4627
MYH10,MYH10,4628
COPB2,COPB2,9276
ACTN2,ACTN2,88
SOAT1,SOAT1,6646
ADD1,ADD1,118
ADD2,ADD2,119
BSG,BSG,682
TIMP3,TIMP3,7078
FUS,FUS,2521
NUP214,NUP214,8021
DEK,DEK,7913
SOX11,SOX11,6664
MYH11,MYH11,4629
PPM1A,PPM1A,5494
IGFALS,IGFALS,3483
AHR,AHR,196
HMGCL,HMGCL,3155
PSMC2,PSMC2,5701
SLC16A2,SLC16A2,6567
CHI3L1,CHI3L1,1116
GGT5,GGT5,2687
ARL2,ARL2,402
ARL3,ARL3,403
MAP2K2,MAP2K2,5605
ATP5F1C,ATP5F1C,509
ATP6V1E1,ATP6V1E1,529
CPOX,CPOX,1371
RPL4,RPL4,6124
NUDT1,NUDT1,4521
LONP1,LONP1,9361
PGM1,PGM1,5236
PPP1CC,PPP1CC,5501
GNL1,GNL1,2794
SERPINF1,SERPINF1,5176
DLST,DLST,1743
GMPR,GMPR,2766
GPX4,GPX4,2879
CFHR2,CFHR2,3080
SRP14,SRP14,6727
NUP62,NUP62,23636
HPCAL1,HPCAL1,3241
FDFT1,FDFT1,2222
ZEB1,ZEB1,6935
TAGLN2,TAGLN2,8407
TALDO1,TALDO1,6888
SNCA,SNCA,6622
ETFB,ETFB,2109
RBMX,RBMX,27316
COIL,COIL,8161
LIPA,LIPA,3988
ATP6V1A,ATP6V1A,523
HSPA9,HSPA9,3313
EIF4A3,EIF4A3,9775
RPS19,RPS19,6223
RPL3,RPL3,6122
COL15A1,COL15A1,1306
COL18A1,COL18A1,80781
MPV17,MPV17,4358
DDOST,DDOST,1650
ANP32A,ANP32A,8125
FEN1,FEN1,2237
CAPG,CAPG,822
CAP2,CAP2,10486
ADCY8,ADCY8,114
TXLNA,TXLNA,200081
CCT6A,CCT6A,908
NNMT,NNMT,4837
PSMB10,PSMB10,5699
PBX1,PBX1,5087
RPL13A,RPL13A,23521
ARL1,ARL1,400
MLH1,MLH1,4292
STAT3,STAT3,6774
USP8,USP8,9101
MDH1,MDH1,4190
MDH2,MDH2,4191
RFC5,RFC5,5985
RFC3,RFC3,5983
HADHA,HADHA,3030
EIF2S3,EIF2S3,1968
CETN2,CETN2,1069
CD200,CD200,4345
MNDA,MNDA,4332
PTGDS,PTGDS,5730
BUD31,BUD31,8896
UBA7,UBA7,7318
NAA10,NAA10,8260
PPP1R2,PPP1R2,5504
CSK,CSK,1445
GARS1,GARS1,2617
IARS1,IARS1,3376
EIF1,EIF1,10209
ADCYAP1R1,ADCYAP1R1,117
GRM5,GRM5,2915
TSPAN7,TSPAN7,7102
PRKCI,PRKCI,5584
ACTR1B,ACTR1B,10120
ECI1,ECI1,1632
TMPO,TMPO,7112
STAT1,STAT1,6772
STAT6,STAT6,6778
GRIA1,GRIA1,2890
GRIA2,GRIA2,2891
GRIA3,GRIA3,2892
MTREX,MTREX,23517
AKR1C3,AKR1C3,8644
PIK3CA,PIK3CA,5290
PIK3CB,PIK3CB,5291
MTOR,MTOR,2475
PI4KA,PI4KA,5297
EPS15,EPS15,2060
CASP3,CASP3,836
DPP6,DPP6,1804
RPS27,RPS27,6232
NCAPD3,NCAPD3,23310
RBM34,RBM34,23029
LRPPRC,LRPPRC,10128
ACAA2,ACAA2,10449
RPL35,RPL35,11224
WAS,WAS,7454
PRCP,PRCP,5547
HTT,HTT,3064
ECE1,ECE1,1889
SLC1A3,SLC1A3,6507
SLC1A2,SLC1A2,6506
SLC1A4,SLC1A4,6509
PAFAH1B1,PAFAH1B1,5048
MCAM,MCAM,4162
DCC,DCC,1630
CRAT,CRAT,1384
MATR3,MATR3,9782
MSH2,MSH2,4436
BTD,BTD,686
GPD2,GPD2,2820
SSR1,SSR1,6745
PTPN9,PTPN9,5780
RANBP1,RANBP1,5902
NAMPT,NAMPT,10135
AFM,AFM,173
PSMC4,PSMC4,5704
TSFM,TSFM,10102
PPIC,PPIC,5480
VDAC2,VDAC2,7417
ACADSB,ACADSB,36
CBX5,CBX5,23468
USP5,USP5,8078
MAPK8,MAPK8,5599
MAP2K4,MAP2K4,6416
MKI67,MKI67,4288
PHKA2,PHKA2,5256
PHKA1,PHKA1,5255
RANGAP1,RANGAP1,5905
RECQL,RECQL,5965
NOP2,NOP2,4839
ATRX,ATRX,546
CRK,CRK,1398
CRKL,CRKL,1399
BAG6,BAG6,7917
NSF,NSF,4905
CDKN1B,CDKN1B,1027
MAP2K3,MAP2K3,5606
BRCC3,BRCC3,79184
RPL27A,RPL27A,6157
RPL5,RPL5,6125
RPL21,RPL21,6144
RPL28,RPL28,6158
RPS9,RPS9,6203
RPS5,RPS5,6193
RPS10,RPS10,6204
MAP1B,MAP1B,4131
GNPDA1,GNPDA1,10007
YAP1,YAP1,10413
UTRN,UTRN,7402
IQGAP1,IQGAP1,8826
HAAO,HAAO,23498
GYG1,GYG1,2992
STT3A,STT3A,3703
PLA2G4A,PLA2G4A,5321
RAP1GAP,RAP1GAP,5909
CAPZA2,CAPZA2,830
CAPZB,CAPZB,832
EIF1AX,EIF1AX,1964
QARS1,QARS1,5859
RPL29,RPL29,6159
UQCRFS1,UQCRFS1,7386
ATP5PO,ATP5PO,539
GRIA4,GRIA4,2893
LIMS1,LIMS1,3987
SLC6A11,SLC6A11,6538
SLC6A9,SLC6A9,6536
PREP,PREP,5550
ME1,ME1,4199
IREB2,IREB2,3658
RFX2,RFX2,5990
RFX3,RFX3,5991
RFX5,RFX5,5993
PIP4K2A,PIP4K2A,5305
SOX2,SOX2,6657
ARCN1,ARCN1,372
LSS,LSS,4047
GCLC,GCLC,2729
GCLM,GCLM,2730
CD151,CD151,977
TRAPPC10,TRAPPC10,7109
PSMD8,PSMD8,5714
PRRC2A,PRRC2A,7916
GSS,GSS,2937
CCT5,CCT5,22948
PTDSS1,PTDSS1,9791
NES,NES,10763
HSPA13,HSPA13,6782
AMT,AMT,275
CSNK1A1,CSNK1A1,1452
IDH2,IDH2,3418
PITPNB,PITPNB,23760
MASP1,MASP1,5648
ADGRE5,ADGRE5,976
POLD2,POLD2,5425
MARCKSL1,MARCKSL1,65108
PXN,PXN,5829
CAMLG,CAMLG,819
NR2C2,NR2C2,7182
MAPKAPK2,MAPKAPK2,9261
ALDH9A1,ALDH9A1,223
RPL34,RPL34,6164
RPIA,RPIA,22934
LMAN1,LMAN1,3998
NASP,NASP,4678
FASN,FASN,2194
FNTA,FNTA,2339
FNTB,FNTB,2342
DHPS,DHPS,1725
CCT3,CCT3,7203
MRPL19,MRPL19,9801
ARRB1,ARRB1,408
TUFM,TUFM,7284
AMPH,AMPH,273
ALDH7A1,ALDH7A1,501
INPP1,INPP1,3628
GLUD2,GLUD2,2747
SRP9,SRP9,6726
PCYT1A,PCYT1A,5130
AARS1,AARS1,16
CARS1,CARS1,833
HARS2,HARS2,23438
SARS1,SARS1,6301
PPM1F,PPM1F,9647
DGKG,DGKG,1608
PRIM2,PRIM2,5558
CSNK1E,CSNK1E,1454
CTCF,CTCF,10664
PSMB3,PSMB3,5691
PSMB2,PSMB2,5690
MCM2,MCM2,4171
THBS3,THBS3,7059
ACADVL,ACADVL,37
YLPM1,YLPM1,56252
ACOT2,ACOT2,10965
VPS41,VPS41,27072
TMED10,TMED10,10972
RBM25,RBM25,58517
NUMB,NUMB,8650
EIF2B2,EIF2B2,8892
HINT1,HINT1,3094
FHIT,FHIT,2272
NUP153,NUP153,9972
RANBP2,RANBP2,5903
TSC2,TSC2,7249
NDUFV1,NDUFV1,4723
GSK3A,GSK3A,2931
GSK3B,GSK3B,2932
TAF6,TAF6,6878
NT5C2,NT5C2,22978
SEPHS1,SEPHS1,22929
CAMP,CAMP,820
GMPS,GMPS,8833
LIG3,LIG3,3980
MRE11,MRE11,4361
ENTPD1,ENTPD1,953
HNMT,HNMT,3176
GNAQ,GNAQ,2776
GNG4,GNG4,2786
IDH3A,IDH3A,3419
CRIP1,CRIP1,1396
MMP14,MMP14,4323
PPOX,PPOX,5498
GDI2,GDI2,2665
EMD,EMD,2010
CPT1A,CPT1A,1374
GATM,GATM,2628
SERPINB8,SERPINB8,5271
SERPINB9,SERPINB9,5272
SERPINH1,SERPINH1,871
PDLIM4,PDLIM4,8572
PEX5,PEX5,5830
VASP,VASP,7408
DNM2,DNM2,1785
METAP2,METAP2,10988
NUDT2,NUDT2,318
TUB,TUB,7275
CDK7,CDK7,1022
RASSF2,RASSF2,9770
CDK9,CDK9,1025
LRBA,LRBA,987
BCAM,BCAM,4059
PPT1,PPT1,5538
RPL14,RPL14,9045
CCT8,CCT8,10694
CCT4,CCT4,10575
ATP1A2,ATP1A2,477
ANXA11,ANXA11,311
PAPOLA,PAPOLA,10914
FXR1,FXR1,8087
FXR2,FXR2,9513
RAB5C,RAB5C,5878
RAB7A,RAB7A,7879
RAB9A,RAB9A,9367
RAB13,RAB13,5872
RAB28,RAB28,9364
PLCD1,PLCD1,5333
DAP,DAP,1611
DAP3,DAP3,7818
DUSP3,DUSP3,1845
NOVA1,NOVA1,4857
SMARCA2,SMARCA2,6595
SMARCA4,SMARCA4,6597
IDH3G,IDH3G,3421
GALK1,GALK1,2584
SSR4,SSR4,6748
BCAP31,BCAP31,10134
TPMT,TPMT,7172
CYP2J2,CYP2J2,1573
RENBP,RENBP,5973
MECP2,MECP2,4204
HCFC1,HCFC1,3054
IRAK1,IRAK1,3654
CAV2,CAV2,858
ALDH3A2,ALDH3A2,224
ALDH5A1,ALDH5A1,7915
HSD17B4,HSD17B4,3295
PSMD7,PSMD7,5713
GPM6A,GPM6A,2823
SUOX,SUOX,6821
SGSH,SGSH,6448
