Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M5925	HALLMARK_E2F_TARGETS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS.html	Genes encoding cell cycle related targets of E2F transcription factors.		117/200	Arthur Liberzon	5.93910935770066e-22	2.96955467885033e-20	5	1	1	1.48477733942517e-22	1	1.57258504071891	-1.57258504071891	-1	100	1	1	1	1
2	M5901	HALLMARK_G2M_CHECKPOINT	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT.html	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.		98/200	Arthur Liberzon	1.29391429117656e-10	3.23478572794140e-09	5	2.25	2	3.23478572809835e-11	2	1.56645529210418	-1.58470661152692	-1	43.1903080069522	2	3	2	2
3	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.html	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.		124/200	Arthur Liberzon	8.3933558845182e-09	1.3988926474197e-07	40	28	35	2.09833897773409e-09	2	1.94015790533887	-2.0067292301844	-1	43.1864351334114	40	2	30	40
4	M5936	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION.html	Genes encoding proteins involved in oxidative phosphorylation.		160/200	Arthur Liberzon	3.12947021262642e-07	3.91183776578302e-06	5	27.25	29.5	7.82367644971469e-08	3	1.39831113131492	1.43857316768932	1	24.4660361733497	3	41	18	47
5	M5926	HALLMARK_MYC_TARGETS_V1	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1.html	A subgroup of genes regulated by MYC - version 1 (v1).		186/200	Arthur Liberzon	1.12503462856871e-06	9.37528857140591e-06	5	15.75	7.5	2.81258775801904e-07	5	1.23946362607149	-1.25907175020217	-1	20.1275655929577	5	43	5	10
6	M5928	HALLMARK_MYC_TARGETS_V2	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V2.html	A subgroup of genes regulated by MYC - version 2 (v2).		45/58	Arthur Liberzon	1.08238945268962e-06	9.37528857140591e-06	5	4.75	3.5	2.70597473006873e-07	3	1.376489245743	-1.39354062010547	-1	22.375840028723	4	9	3	3
7	M5935	HALLMARK_FATTY_ACID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_FATTY_ACID_METABOLISM.html	Genes encoding proteins involved in metabolism of fatty acids.		109/158	Arthur Liberzon	2.05980657093635e-06	1.47129040781168e-05	10	8.25	8	5.14952040497356e-07	6	1.41269974518457	1.43172603135442	1	22.0677306129139	6	7	9	11
8	M5909	HALLMARK_MYOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYOGENESIS.html	Genes involved in development of skeletal muscle (myogenesis).		84/200	Arthur Liberzon	2.62586557130945e-06	1.64116598206841e-05	15	14.5	16.5	6.5646703925054e-07	4	1.65240601007407	1.62341032592795	1	25.5917829057628	14	4	21	19
9	M5905	HALLMARK_ADIPOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ADIPOGENESIS.html	Genes up-regulated during adipocyte differentiation (adipogenesis).		134/200	Arthur Liberzon	3.90939597608612e-06	2.17188665338118e-05	10	19.75	19	9.77350426841383e-07	7	1.28854801404449	1.32885395322212	1	19.3987734135794	7	26	12	34
10	M5907	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE.html	Genes defining late response to estrogen.		72/200	Arthur Liberzon	2.73861973008402e-05	0.000136930986504201	10	8	8	6.84661963918982e-06	5	1.67014709131191	1.76722181972783	1	20.8473359101943	10	5	11	6
