Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.html	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.		124/200	Arthur Liberzon	1.29320083833206e-29	6.46600419166028e-28	5	9	10	3.23300209583014e-30	1	2.48306777912845	-2.42421880725814	-1	100	5	1	15	15
2	M5891	HALLMARK_HYPOXIA	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html	Genes up-regulated in response to low oxygen levels (hypoxia).		99/200	Arthur Liberzon	3.99604598536831e-16	9.99011496342077e-15	5	10	8	9.99011496342083e-17	2	2.16325052050513	-2.16091555332193	-1	44.8601091905275	14	2	22	2
3	M5909	HALLMARK_MYOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYOGENESIS.html	Genes involved in development of skeletal muscle (myogenesis).		84/200	Arthur Liberzon	8.33713798784147e-14	1.38952299797358e-12	15	12	11	2.08428449696043e-14	3	2.70392854630852	2.97667489055	1	47.4883544732323	15	3	7	23
4	M5907	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE.html	Genes defining late response to estrogen.		72/200	Arthur Liberzon	2.34485803006429e-12	2.93107253758037e-11	5	7.25	3.5	5.86214507516588e-13	1	2.4493802862411	2.26728097748302	1	38.2137172205986	21	4	3	1
5	M5946	HALLMARK_COAGULATION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_COAGULATION.html	Genes encoding components of blood coagulation system; also up-regulated in platelets.		78/138	Arthur Liberzon	3.69053157546117e-10	3.69053157546117e-09	10	18.75	16.5	9.22632893992978e-11	5	2.1945313159121	-1.89100258685919	-1	27.4113984150106	10	5	23	37
6	M5906	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY.html	Genes defining early response to estrogen.		63/200	Arthur Liberzon	1.465804190861e-09	1.22150349238417e-08	40	18	15	3.6645104791668e-10	6	2.66339742251537	2.33331582116954	1	31.2172677940517	36	6	19	11
7	M5928	HALLMARK_MYC_TARGETS_V2	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V2.html	A subgroup of genes regulated by MYC - version 2 (v2).		45/58	Arthur Liberzon	1.22639263307094e-08	8.75994737907817e-08	5	10.75	4	3.06598159677772e-09	1	1.82137254423501	-1.82137254423501	-1	19.0397470193668	1	34	1	7
8	M5944	HALLMARK_ANGIOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS.html	Genes up-regulated during formation of blood vessels (angiogenesis).		19/36	Arthur Liberzon	2.26923406625477e-06	1.41267042505527e-05	10	14.75	9	5.67308999322762e-07	7	2.94877465979229	-2.94877465979229	-1	21.1831897939803	9	7	9	34
9	M5947	HALLMARK_IL2_STAT5_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING.html	Genes up-regulated by STAT5 in response to IL2 stimulation.		74/200	Arthur Liberzon	2.54280676509949e-06	1.41267042505527e-05	45	26	25.5	6.35702297450732e-07	8	2.06480492416367	-1.84886810878974	-1	14.8329805291636	41	8	45	10
10	M5902	HALLMARK_APOPTOSIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html	Genes mediating programmed cell death (apoptosis) by activation of caspases.		84/161	Arthur Liberzon	1.51732380285699e-05	7.51260578462341e-05	40	31	32.5	3.79333109112903e-06	9	2.34534645950858	2.32706727757085	1	14.3271230069924	37	9	50	28
11	M5921	HALLMARK_COMPLEMENT	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT.html	Genes encoding components of the complement system, which is part of the innate immune system.		99/200	Arthur Liberzon	1.7638079086402e-05	7.51260578462341e-05	35	26.5	28	4.40954893769751e-06	10	1.85994258164581	1.91992091787098	1	11.3619058126001	31	10	40	25
12	M5937	HALLMARK_GLYCOLYSIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_GLYCOLYSIS.html	Genes encoding proteins involved in glycolysis and gluconeogenesis.		117/200	Arthur Liberzon	1.80302538830962e-05	7.51260578462341e-05	20	22.25	23.5	4.50759394828726e-06	11	1.86695560204491	-1.98373075649529	-1	11.4047466913412	20	11	31	27
13	M5925	HALLMARK_E2F_TARGETS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS.html	Genes encoding cell cycle related targets of E2F transcription factors.		117/200	Arthur Liberzon	3.1586129097684e-05	0.0001128076039203	15	18	13.5	7.89662580897734e-06	2	1.6013087156794	-1.52897265720334	-1	9.36322761875952	2	43	13	14
14	M5942	HALLMARK_UV_RESPONSE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_DN.html	Genes down-regulated in response to ultraviolet (UV) radiation.		78/144	Arthur Liberzon	3.09045477812313e-05	0.0001128076039203	15	14.5	13	7.72622648671021e-06	9	2.08188279631803	2.14869197828248	1	12.1732697038188	23	12	14	9
15	M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS.html	Genes involved in cholesterol homeostasis.		45/74	Arthur Liberzon	9.65373675000681e-05	0.000321791225000227	30	19.25	20.5	2.41352156239079e-05	6	1.71741371950545	-1.78269607947925	-1	8.8840829291307	28	13	30	6
16	M5922	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_UNFOLDED_PROTEIN_RESPONSE.html	Genes up-regulated during unfolded protein response, a cellular stress response related to the endoplasmic reticulum.		76/113	Arthur Liberzon	0.000152074894018752	0.000475234043808599	5	16.75	13	3.80208918320495e-05	3	1.60212135851564	-1.35525474668929	-1	7.88584179395686	3	38	6	20
17	M5934	HALLMARK_XENOBIOTIC_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_XENOBIOTIC_METABOLISM.html	Genes encoding proteins involved in processing of drugs and other xenobiotics.		104/200	Arthur Liberzon	0.000170996892194066	0.000502932035864901	50	29.5	29	4.27519645660897e-05	14	2.2491072730555	2.38509194337871	1	10.9884470177546	46	14	42	16
18	M5915	HALLMARK_APICAL_JUNCTION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APICAL_JUNCTION.html	Genes encoding components of apical junction complex.		107/200	Arthur Liberzon	0.000348012270924086	0.000966700752566906	30	26.5	26.5	8.70144243372694e-05	15	1.89986749755429	1.74833285351503	1	8.48357586857142	38	15	27	26
19	M5919	HALLMARK_HEDGEHOG_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING.html	Genes up-regulated by activation of hedgehog signaling.		18/36	Arthur Liberzon	0.000621055642629764	0.00163435695428885	25	13	13	0.000155300084086217	4	2.57803671108663	2.77023368702711	1	10.6410095586522	22	16	10	4
20	M5939	HALLMARK_P53_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_P53_PATHWAY.html	Genes involved in p53 pathways and networks.		76/200	Arthur Liberzon	0.000710872903436596	0.00177718225859149	40	28.5	28	0.000177765621165998	12	2.43429065033495	2.36760714292239	1	9.91649403895473	39	17	46	12
