Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M5889	NABA_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_MATRISOME.html	Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins 	22159717	246/1028	Alexandra Naba	1.09324103309651e-43	3.97611763737201e-40	45	493	411	2.73310258274127e-44	1	2.66719442163614	-2.7977138945104	-1	100	43	1	779	1149
2	M19062	DODD_NASOPHARYNGEAL_CARCINOMA_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DODD_NASOPHARYNGEAL_CARCINOMA_UP.html	Genes up-regulated in nasopharyngeal carcinoma (NPC) compared to the normal tissue.	17119049	435/1821	Arthur Liberzon	6.52940958984779e-32	1.18737313391382e-28	5	33.5	15	1.63235239746195e-32	2	2.24838434971647	2.27161448498281	1	59.7466137782935	28	2	102	2
3	M2129	CHICAS_RB1_TARGETS_CONFLUENT	http://www.broadinstitute.org/gsea/msigdb/cards/CHICAS_RB1_TARGETS_CONFLUENT.html	Genes up-regulated in confluent IMR90 cells (fibroblast) after knockdown of RB1 [GeneID=5925] by RNAi.	20385362	271/567	Arthur Liberzon	1.89239949323047e-30	2.2942189856264e-27	2080	1461.25	1117	4.73099873307616e-31	3	2.29366259203696	2.46320587066695	1	58.1428804115595	2078	3	3608	156
4	M17572	SMID_BREAST_CANCER_LUMINAL_B_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_LUMINAL_B_DN.html	Genes down-regulated in the luminal B subtype of breast cancer.	18451135	188/564	Jessica Robertson	2.72604345286335e-27	2.478655009516e-24	2300	1618	1461.5	6.81510863215837e-28	4	2.41231161492928	-2.15097407541175	-1	54.1869835611829	2298	4	3545	625
5	M2001	WU_CELL_MIGRATION	http://www.broadinstitute.org/gsea/msigdb/cards/WU_CELL_MIGRATION.html	Genes associated with migration rate of 40 human bladder cancer cells.	18724390	76/184	Jessica Robertson	6.09097986295897e-26	4.43057875231635e-23	520	457	311.5	1.52274496573974e-26	5	2.71796094545917	-2.96506068591941	-1	57.8139514680866	516	5	1200	107
6	M2122	VERHAAK_GLIOBLASTOMA_MESENCHYMAL	http://www.broadinstitute.org/gsea/msigdb/cards/VERHAAK_GLIOBLASTOMA_MESENCHYMAL.html	Genes correlated with mesenchymal type of glioblastoma multiforme tumors.	20129251	110/216	Arthur Liberzon	1.38538850993291e-25	8.39776335104332e-23	10	29.5	6.5	3.46347127483227e-26	1	2.10594402129425	-2.13463094900976	-1	44.239186096474	1	6	104	7
7	M5884	NABA_CORE_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_CORE_MATRISOME.html	Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans	22159717	107/275	Alexandra Naba	5.98144790990899e-25	3.107789435477e-22	125	975.5	735	1.49536197747725e-25	7	2.59532929872812	-2.7189670489485	-1	53.1161414848431	122	7	1348	2425
8	M19391	LIU_PROSTATE_CANCER_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LIU_PROSTATE_CANCER_DN.html	Genes down-regulated in prostate cancer samples.	16618720	201/481	Arthur Liberzon	1.80895138373016e-24	7.96631007832971e-22	2315	1163.75	1166	4.52237845932541e-25	8	2.4570186015113	2.53681396816804	1	49.3296645458129	2315	8	1710	622
9	M14127	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	http://www.broadinstitute.org/gsea/msigdb/cards/HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP.html	Genes up-regulated in multiple myeloma (MM) cell lines treated with both decitabine [PubChem=451668] TSA [PubChem=5562].	18172295	178/461	Jessica Robertson	1.97131676395291e-24	7.96631007832971e-22	10	729	565	4.9282919098823e-25	6	2.42287293366969	2.35335592712639	1	48.6441205434075	1780	9	1121	6
10	M17471	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP.html	Genes up-regulated in invasive ductal carcinoma (IDC) relative to ductal carcinoma in situ (DCIS, non-invasive).	16707453	164/351	Arthur Liberzon	3.04992625234391e-23	1.10925817797748e-20	170	639	642.5	7.62481563085979e-24	10	2.33878948296879	-2.34515325270963	-1	44.4104622057388	170	10	1261	1115
11	M8124	SMID_BREAST_CANCER_BASAL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_BASAL_UP.html	Genes up-regulated in basal subtype of breast cancer samles.	18451135	243/648	Jessica Robertson	1.09834195127001e-22	3.63151788797185e-20	1575	1296.75	804	2.74585487817503e-23	11	2.19252382174289	-2.1099495306927	-1	40.5584873662308	1574	11	3568	34
12	M1834	BOQUEST_STEM_CELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_UP.html	Genes up-regulated in freshly isolated CD31- [GeneID=5175] (stromal stem cells from adipose tissue) versus the CD31+ (non-stem) counterparts.	15635089	132/260	Arthur Liberzon	3.22117142208404e-22	9.76283371843304e-20	1875	2007.75	2321.5	8.05292855521012e-23	12	3.03172165820211	-2.83571776145358	-1	54.8433875834586	1875	12	3376	2768
13	M12671	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN.html	Genes down-regulated in nsopharyngeal carcinoma relative to the normal tissue.	16912175	85/349	Leona Saunders	6.88094284335134e-21	1.92507608625145e-18	5	7.5	7.5	1.72023571083785e-21	2	2.41037608681406	2.41037608681406	1	40.6333510352999	2	13	12	3
14	M5885	NABA_MATRISOME_ASSOCIATED	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_MATRISOME_ASSOCIATED.html	Ensemble of genes encoding ECM-associated proteins including ECM-affilaited proteins, ECM regulators and secreted factors	22159717	139/753	Alexandra Naba	7.25487455584064e-20	1.88471276854231e-17	70	316	313.5	1.81371863896016e-20	14	2.70468926837076	-2.83915960270087	-1	43.0447586205268	69	14	558	623
15	M17923	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP.html	Genes up-regulated in cultured stromal stem cells from adipose tissue, compared to the freshly isolated cells.	15635089	176/425	Arthur Liberzon	5.24187228713362e-19	1.27097930055366e-16	2545	1535.5	1365	1.31046807178341e-19	15	2.50372865951807	-2.28708512225812	-1	37.8716711258958	2541	15	3397	189
16	M10961	GOZGIT_ESR1_TARGETS_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GOZGIT_ESR1_TARGETS_DN.html	Genes down-regulated in TMX2-28 cells (breast cancer) which do not express ESR1 [GeneID=2099]) compared to the parental MCF7 cells which do.	17726467	244/781	Arthur Liberzon	1.09919223061168e-18	2.49860133920918e-16	785	414.25	428	2.74798057652921e-19	16	2.22213313976198	2.25193436265664	1	32.9914893447728	785	16	583	273
17	M9192	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN.html	Genes down-regulated in luminal-like breast cancer cell lines compared to the mesenchymal-like ones.	16288205	240/460	Arthur Liberzon	3.59769906494328e-18	7.26935083288816e-16	3190	1853.25	2103.5	8.9942476623582e-19	18	2.24521262623817	2.23981359047082	1	32.3432444244798	3188	18	2818	1389
18	M13206	KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN.html	Genes down-regulated in TC71 and EWS502 cells (Ewing's sarcoma) by EWSR1-FLI1  [GeneID=2130;2314] as inferred from RNAi knockdown of this fusion protein.	17114343	123/329	Leona Saunders	3.47510699010096e-18	7.26935083288816e-16	2565	1177.25	1064	8.68776747525242e-19	17	2.71586549647824	2.68078394348035	1	39.123199693848	2564	17	1904	224
19	M3645	DELYS_THYROID_CANCER_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DELYS_THYROID_CANCER_UP.html	Genes up-regulated in papillary thyroid carcinoma (PTC) compared to normal tissue.	17621275	198/443	Aravind Subramanian	5.69434711755499e-18	1.09001791929197e-15	450	623.5	496	1.42358677938875e-18	19	2.24963463003632	-2.39356935169803	-1	32.030315364552	449	19	1483	543
20	M1459	PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN.html	Genes down-regulated in BEC (blood endothelial cells) compared to LEC (lymphatic endothelial cells).	12198161	88/162	Kevin Vogelsang	9.17964667962516e-18	1.66931874868984e-15	2095	1394	1131	2.2949116699063e-18	20	2.50423051847389	2.70820362359973	1	35.2141536607229	2093	20	3294	169
