Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.html	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.		124/200	Arthur Liberzon	1.16110474259019e-16	5.80552371295094e-15	30	18	21	2.90276185647548e-17	1	1.48833651153936	-1.58025035894446	-1	100	26	1	29	16
2	M5909	HALLMARK_MYOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYOGENESIS.html	Genes involved in development of skeletal muscle (myogenesis).		84/200	Arthur Liberzon	7.29383364928247e-13	1.82345841232062e-11	15	10.5	13	1.82345841232112e-13	2	1.40856016848638	-1.39883480234391	-1	71.3822319511731	14	2	12	14
3	M5946	HALLMARK_COAGULATION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_COAGULATION.html	Genes encoding components of blood coagulation system; also up-regulated in platelets.		78/138	Arthur Liberzon	6.40193513747356e-11	1.06698918957893e-09	10	4.75	4.5	1.60048378440681e-11	2	1.30101387784027	-1.30101387784027	-1	55.0742614682345	6	3	8	2
4	M5925	HALLMARK_E2F_TARGETS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS.html	Genes encoding cell cycle related targets of E2F transcription factors.		117/200	Arthur Liberzon	8.84215847151023e-11	1.10526980893878e-09	5	27	30	2.21053961795086e-11	1	0.809090832867482	0.808548442372422	1	34.1788961608601	1	47	16	44
5	M5921	HALLMARK_COMPLEMENT	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT.html	Genes encoding components of the complement system, which is part of the innate immune system.		99/200	Arthur Liberzon	4.68010897015887e-08	3.90009080846573e-07	5	3	3.5	1.17002726307418e-08	1	1.2450516995237	-1.23537559704229	-1	37.6385851911024	4	4	3	1
6	M5926	HALLMARK_MYC_TARGETS_V1	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1.html	A subgroup of genes regulated by MYC - version 1 (v1).		186/200	Arthur Liberzon	4.31049401672973e-08	3.90009080846573e-07	50	31.75	38.5	1.07762352160152e-08	2	0.809316901208381	0.81636931372099	1	24.4541463795801	2	48	30	47
7	M5901	HALLMARK_G2M_CHECKPOINT	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT.html	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.		98/200	Arthur Liberzon	7.23724067154021e-08	5.16945762252872e-07	5	28.5	32.5	1.8093102169891e-08	3	0.802485071377625	0.825526024032492	1	23.7838040511045	3	43	22	46
8	M5953	HALLMARK_KRAS_SIGNALING_UP	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP.html	Genes up-regulated by KRAS activation.		56/200	Arthur Liberzon	1.87498018976976e-06	1.1718626186061e-05	25	13	13	4.68745377025679e-07	5	1.27120454138203	-1.36504802876171	-1	29.5606872324356	21	5	17	9
9	M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB.html	Genes regulated by NF-kB in response to TNF [GeneID=7124].		45/200	Arthur Liberzon	2.90495646436553e-06	1.50337720462021e-05	10	9.5	9.5	7.26239907227602e-07	1	1.19319524504839	-1.19319524504839	-1	27.1350815856797	8	18	1	11
10	M5932	HALLMARK_INFLAMMATORY_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html	Genes defining inflammatory response.		48/200	Arthur Liberzon	3.00675440924043e-06	1.50337720462021e-05	5	7.25	5.5	7.51689449865225e-07	2	1.34603315446734	-1.34603315446734	-1	30.6152192752716	5	16	2	6
