Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M9516	PUJANA_BRCA2_PCC_NETWORK	http://www.broadinstitute.org/gsea/msigdb/cards/PUJANA_BRCA2_PCC_NETWORK.html	Genes constituting the BRCA2-PCC network of transcripts whose expression positively correlated (Pearson correlation coefficient, PCC >= 0.4) with that of BRCA2 [GeneID=675] across a compendium of normal tissues.	17922014	211/423	Leona Saunders	2.52196707698108e-76	9.17239425898019e-73	5	20.25	6	6.30491769245272e-77	1	1.75807057570285	-1.767420054467	-1	74.0705870072067	5	1	68	7
2	M7854	WHITEFORD_PEDIATRIC_CANCER_MARKERS	http://www.broadinstitute.org/gsea/msigdb/cards/WHITEFORD_PEDIATRIC_CANCER_MARKERS.html	Differentially expressed genes in a panel of xenografts representing 8 common pediatric tumors compared to the normal tissues.	17210681	50/116	Jessica Robertson	4.94896326929788e-72	8.99968970521819e-69	15	15.5	13.5	1.23724081732445e-72	2	2.00247245023062	-2.05019872872058	-1	79.6926820601478	33	2	12	15
3	M8124	SMID_BREAST_CANCER_BASAL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_BASAL_UP.html	Genes up-regulated in basal subtype of breast cancer samles.	18451135	243/648	Jessica Robertson	1.14378200342419e-69	1.38664504881793e-66	2630	1455.75	1349.5	2.85945500856043e-70	3	1.87555115618315	1.8784833350634	1	72.2417777677922	2628	3	3121	71
4	M2879	BLUM_RESPONSE_TO_SALIRASIB_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BLUM_RESPONSE_TO_SALIRASIB_DN.html	Selected genes down-regulated in response to the Ras inhibitor salirasib [PubChem=5469318] in a panel of cancer cell lines with constantly active HRAS [GeneID=3265].	17409441	181/342	Jessica Robertson	1.54217557519125e-68	1.40222314174264e-65	50	42.75	30.5	3.85543893797814e-69	4	1.73340487694136	-1.8367749082777	-1	65.7479252513254	49	4	106	12
5	M16010	KOBAYASHI_EGFR_SIGNALING_24HR_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KOBAYASHI_EGFR_SIGNALING_24HR_DN.html	Genes down-regulated in H1975 cells (non-small cell lung cancer, NSCLC) resistant to gefitinib [PubChem=123631] after treatment with EGFR inhibitor CL-387785 [PubChem=2776] for 24h.	17145885	96/251	Arthur Liberzon	4.6493658376855e-68	3.38194871033243e-65	20	21.25	17.5	1.16234145942135e-68	5	1.86713198293582	-1.92172366069221	-1	70.4026560036782	19	5	45	16
6	M18811	PUJANA_XPRSS_INT_NETWORK	http://www.broadinstitute.org/gsea/msigdb/cards/PUJANA_XPRSS_INT_NETWORK.html	Genes constituting the XPRSS-Int network: intersection of genes whose expression correlates with BRCA1, BRCA2, ATM, and CHEK2 [GeneID=672;675;472;11200] in a compendium of normal tissues.	17922014	99/168	Leona Saunders	4.83325919059229e-67	2.92976061269736e-64	10	15.75	9	1.20831479764805e-67	6	1.82771532864021	-1.84614498748887	-1	67.9140778711734	8	6	39	10
7	M18506	CROONQUIST_IL6_DEPRIVATION_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CROONQUIST_IL6_DEPRIVATION_DN.html	Genes down-regulated in the ANBL-6 cell line (multiple myeloma, MM) after withdrawal of IL6 [GeneID=3569].	12791645	42/98	Arthur Liberzon	5.07565907092531e-65	2.6371674344222e-62	35	19.25	19.5	1.26891476773131e-65	7	2.03149730705616	-2.1699853772109	-1	73.1642046706833	31	7	17	22
8	M4455	EGUCHI_CELL_CYCLE_RB1_TARGETS	http://www.broadinstitute.org/gsea/msigdb/cards/EGUCHI_CELL_CYCLE_RB1_TARGETS.html	RB1 [GeneID=5925] target genes involved in cell cycle regulation: genes down-regulated by doxorubicin [PubChem=31703] only in cells expressing RB1.	16862181	12/23	Leona Saunders	4.14894738939654e-64	1.8862152069044e-61	35	24.75	21.5	1.03723684734912e-64	1	2.81569726329443	-2.81569726329443	-1	100	35	8	1	55
9	M2044	KEGG_SPLICEOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_SPLICEOSOME.html	Spliceosome		110/128	KEGG	9.07669444644735e-59	3.66799307796989e-56	5	22.5	5	2.26917361161181e-59	1	1.54019526504966	-1.52085377858137	-1	49.9361497416862	1	9	79	1
10	M2128	CHICAS_RB1_TARGETS_GROWING	http://www.broadinstitute.org/gsea/msigdb/cards/CHICAS_RB1_TARGETS_GROWING.html	Genes up-regulated in growing IMR90 cells (fibroblast) after knockdown of RB1 [GeneID=5925] by RNAi.	20385362	112/243	Arthur Liberzon	3.05458026569561e-57	1.11095084263349e-54	315	152	142	7.63645066423898e-58	10	1.87664800118171	-1.96114568838935	-1	59.2188087551027	314	10	221	63
11	M2156	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP.html	Genes up-regulated in MCF7 cells (breast cancer) at 24 h of estradiol [PubChem=5757] treatment.	20406972	99/324	Jessica Robertson	3.77117857319875e-53	1.24688877006581e-50	45	42	40	9.42794643299686e-54	11	1.82259230460284	-1.94270288571104	-1	53.195773759854	45	11	77	35
12	M123	MUELLER_PLURINET	http://www.broadinstitute.org/gsea/msigdb/cards/MUELLER_PLURINET.html	Genes constituting the PluriNet protein-protein network shared by the pluripotent cells (embryonic stem cells, embryonical carcinomas and induced pluripotent cells).	18724358	172/299	Arthur Liberzon	4.16621272763948e-51	1.26270964086873e-48	10	32.75	11	1.04155318190986e-51	9	1.64061031110168	-1.63717601889665	-1	45.9599842533633	10	12	100	9
13	M9372	KAUFFMANN_DNA_REPLICATION_GENES	http://www.broadinstitute.org/gsea/msigdb/cards/KAUFFMANN_DNA_REPLICATION_GENES.html	Genes involved in DNA replication, compiled manually by the authors.	17891185	75/147	Jessica Robertson	5.55990046539619e-51	1.55548907635738e-48	20	18.25	18.5	1.38997511634904e-51	13	1.80324219151241	-1.79452597987721	-1	50.4204346602525	20	13	23	17
14	M11537	CHANG_CYCLING_GENES	http://www.broadinstitute.org/gsea/msigdb/cards/CHANG_CYCLING_GENES.html	Fibroblast serum response genes showing periodic expression during the cell cycle; excluded from the core serum response signature.	14737219	45/148	Arthur Liberzon	2.01533079893777e-50	5.23554151124048e-48	40	32.75	38	5.03832699734444e-51	14	2.13783398519626	-2.17934570343242	-1	59.11690992561	36	14	41	40
15	M10739	CROONQUIST_NRAS_SIGNALING_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CROONQUIST_NRAS_SIGNALING_DN.html	Genes down-regulated in ANBL-6 cell line (multiple myeloma, MM)  expressing a constantly active form of NRAS [GeneID=4893] off a plasmid vector compared to those grown in the presence of IL6 [GeneID=3569].	12791645	33/72	Arthur Liberzon	3.12438444745998e-50	7.57559082360797e-48	45	34	30.5	7.81096111864996e-51	15	2.21564678545357	-2.31659700620358	-1	61.060721185735	41	15	20	60
16	M2606	ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	http://www.broadinstitute.org/gsea/msigdb/cards/ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR.html	Cell cycle genes significantly (p =< 0.05) changed in fibroblast cells at 6 h after exposure to ionizing radiation.	17404513	35/85	Itai Pashtan	2.60298035094178e-49	5.91689971023454e-47	35	27.25	25	6.50745087735441e-50	8	2.25737635216258	-2.28432812626133	-1	61.0321871155024	34	16	8	51
17	M14079	BENPORATH_ES_CORE_NINE_CORRELATED	http://www.broadinstitute.org/gsea/msigdb/cards/BENPORATH_ES_CORE_NINE_CORRELATED.html	Breast cancer compendium: 100 transcription regulators showing most correlated expression with the 9 'embryonic stem cell' transcription factors that are preferentially and coordinately overexpressed in the high-grade, ER-negative breast cancer tumors.	18443585	27/100	Jessica Robertson	2.33962024720721e-48	5.00541108181918e-46	20	29	28.5	5.84905061801803e-49	17	2.20588420611127	-2.29425540762576	-1	58.4436090028172	42	17	18	39
18	M6866	MISSIAGLIA_REGULATED_BY_METHYLATION_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MISSIAGLIA_REGULATED_BY_METHYLATION_DN.html	Genes down-regulated in PaCa44 and CFPAC1 cells (pancreatic cancer) after treatment with decitabine [PubChem=451668], a DNA hypomethylating agent similar to azacitidine [PubChem=9444].	15637593	75/122	Leona Saunders	4.97704174225481e-48	1.00563893425449e-45	25	24.75	21.5	1.24426043556369e-48	14	1.72823175362504	-1.83181750712986	-1	45.4822210438425	25	18	42	14
19	M15664	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	http://www.broadinstitute.org/gsea/msigdb/cards/ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER.html	The 'Cervical Cancer Proliferation Cluster' (CCPC): genes whose expression in cervical carcinoma positively correlates with that of the HPV E6 and E7 oncogenes; they are also differentially expressed according to disease outcome.	16007141	45/140	Leona Saunders	1.47959910756406e-47	2.83226418642657e-45	30	27.25	29	3.69899776891015e-48	19	1.9979594422967	-2.10330401517623	-1	52.0552235673354	32	19	28	30
20	M10371	BENPORATH_ES_WITH_H3K27ME3	http://www.broadinstitute.org/gsea/msigdb/cards/BENPORATH_ES_WITH_H3K27ME3.html	Set 'H3K27 bound': genes posessing the trimethylated H3K27 (H3K27me3) mark in their promoters in human embryonic stem cells, as identified by ChIP on chip.	18443585	173/1118	Jessica Robertson	3.65336402209435e-47	6.6419592375758e-45	1335	919.5	750.5	9.13341005523586e-48	20	1.86635443848194	1.75884367771335	1	48.2223091655092	1331	20	2157	170
