Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M4455	EGUCHI_CELL_CYCLE_RB1_TARGETS	http://www.broadinstitute.org/gsea/msigdb/cards/EGUCHI_CELL_CYCLE_RB1_TARGETS.html	RB1 [GeneID=5925] target genes involved in cell cycle regulation: genes down-regulated by doxorubicin [PubChem=31703] only in cells expressing RB1.	16862181	12/23	Leona Saunders	1.10296646205279e-18	1.33716300749533e-15	5	9.5	3.5	2.75741615513197e-19	1	2.31658354422871	-2.31658354422871	-1	100	4	3	1	30
2	M16010	KOBAYASHI_EGFR_SIGNALING_24HR_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KOBAYASHI_EGFR_SIGNALING_24HR_DN.html	Genes down-regulated in H1975 cells (non-small cell lung cancer, NSCLC) resistant to gefitinib [PubChem=123631] after treatment with EGFR inhibitor CL-387785 [PubChem=2776] for 24h.	17145885	96/251	Arthur Liberzon	4.57095095151336e-19	1.33716300749533e-15	5	7.75	3	1.14273773787834e-19	1	1.67557826032776	-1.65706384072332	-1	72.3295965315159	5	1	24	1
3	M2156	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP.html	Genes up-regulated in MCF7 cells (breast cancer) at 24 h of estradiol [PubChem=5757] treatment.	20406972	99/324	Jessica Robertson	8.81194696110009e-19	1.33716300749533e-15	40	28	24.5	2.20298674027502e-19	2	1.73898354721969	-1.77137361289073	-1	75.0666252493726	40	2	61	9
4	M2128	CHICAS_RB1_TARGETS_GROWING	http://www.broadinstitute.org/gsea/msigdb/cards/CHICAS_RB1_TARGETS_GROWING.html	Genes up-regulated in growing IMR90 cells (fibroblast) after knockdown of RB1 [GeneID=5925] by RNAi.	20385362	112/243	Arthur Liberzon	6.02747642459419e-18	5.48048293906226e-15	185	83	72.5	1.50686910614856e-18	4	1.84034053324434	-1.78812586837431	-1	76.1697883196901	183	4	112	33
5	M9516	PUJANA_BRCA2_PCC_NETWORK	http://www.broadinstitute.org/gsea/msigdb/cards/PUJANA_BRCA2_PCC_NETWORK.html	Genes constituting the BRCA2-PCC network of transcripts whose expression positively correlated (Pearson correlation coefficient, PCC >= 0.4) with that of BRCA2 [GeneID=675] across a compendium of normal tissues.	17922014	211/423	Leona Saunders	3.24368430603432e-17	2.35945596420937e-14	5	20.25	12.5	8.10921076508583e-18	1	1.49926799978933	-1.51158779388399	-1	59.2944291225545	1	19	55	6
6	M12671	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN.html	Genes down-regulated in nsopharyngeal carcinoma relative to the normal tissue.	16912175	85/349	Leona Saunders	4.10960844403775e-17	2.49110765182755e-14	15	64	10	1.02740211100944e-17	5	1.89504478677678	1.93220761825671	1	74.8173958287324	12	5	231	8
7	M8124	SMID_BREAST_CANCER_BASAL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_BASAL_UP.html	Genes up-regulated in basal subtype of breast cancer samles.	18451135	243/648	Jessica Robertson	4.99213212550861e-17	2.59376922006783e-14	2525	1158.75	1053.5	1.24803303137716e-17	6	1.88307455612342	-1.87635305493527	-1	74.2489502498463	2522	6	2004	103
8	M18811	PUJANA_XPRSS_INT_NETWORK	http://www.broadinstitute.org/gsea/msigdb/cards/PUJANA_XPRSS_INT_NETWORK.html	Genes constituting the XPRSS-Int network: intersection of genes whose expression correlates with BRCA1, BRCA2, ATM, and CHEK2 [GeneID=672;675;472;11200] in a compendium of normal tissues.	17922014	99/168	Leona Saunders	3.97369012869315e-16	1.67403440743849e-13	5	25.5	28	9.93422532173295e-17	2	1.55467664997166	-1.56349841803645	-1	57.6462775349921	2	38	44	18
9	M2129	CHICAS_RB1_TARGETS_CONFLUENT	http://www.broadinstitute.org/gsea/msigdb/cards/CHICAS_RB1_TARGETS_CONFLUENT.html	Genes up-regulated in confluent IMR90 cells (fibroblast) after knockdown of RB1 [GeneID=5925] by RNAi.	20385362	271/567	Arthur Liberzon	4.1425102191219e-16	1.67403440743849e-13	1010	1038	572	1.03562755478048e-16	7	1.7688780217705	1.81454624951231	1	65.5887670144854	1008	7	3001	136
10	M7854	WHITEFORD_PEDIATRIC_CANCER_MARKERS	http://www.broadinstitute.org/gsea/msigdb/cards/WHITEFORD_PEDIATRIC_CANCER_MARKERS.html	Differentially expressed genes in a panel of xenografts representing 8 common pediatric tumors compared to the normal tissues.	17210681	50/116	Jessica Robertson	4.8062598437543e-16	1.74803670517344e-13	10	7.25	7.5	1.20156496093858e-16	4	1.8587430741864	-1.79151344842474	-1	68.8195804004178	7	8	4	10
