Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M5889	NABA_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_MATRISOME.html	Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins 	22159717	246/1028	Alexandra Naba	7.29224225258972e-96	2.65218850726688e-92	765	1775	1935.5	1.82306056314742e-96	1	2.35480891169386	-2.52962644846089	-1	100	762	1	3228	3109
2	M17572	SMID_BREAST_CANCER_LUMINAL_B_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_LUMINAL_B_DN.html	Genes down-regulated in the luminal B subtype of breast cancer.	18451135	188/564	Jessica Robertson	1.06251925203376e-87	1.93219125982339e-84	1765	860.25	837	2.65629813008435e-88	2	2.27117139460007	2.46947439785123	1	88.1674858207343	1765	2	1290	384
3	M19391	LIU_PROSTATE_CANCER_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LIU_PROSTATE_CANCER_DN.html	Genes down-regulated in prostate cancer samples.	16618720	201/481	Arthur Liberzon	1.3270927870471e-83	1.60887882216344e-80	695	346.75	346.5	3.31773196761776e-84	3	2.17335615460719	2.12006085700376	1	80.4190513237334	691	3	640	53
4	M2129	CHICAS_RB1_TARGETS_CONFLUENT	http://www.broadinstitute.org/gsea/msigdb/cards/CHICAS_RB1_TARGETS_CONFLUENT.html	Genes up-regulated in confluent IMR90 cells (fibroblast) after knockdown of RB1 [GeneID=5925] by RNAi.	20385362	271/567	Arthur Liberzon	1.92066355874547e-80	1.74636334078932e-77	1630	802.75	790	4.80165889686366e-81	4	2.08624046507645	2.05203160579186	1	74.2587878492049	1627	4	1068	512
5	M8124	SMID_BREAST_CANCER_BASAL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_BASAL_UP.html	Genes up-regulated in basal subtype of breast cancer samles.	18451135	243/648	Jessica Robertson	2.74182635356275e-76	1.99440448958154e-73	5	1220.25	1118	6.85456588390678e-77	3	2.06053416730012	2.17518686041825	1	69.4665772103695	2642	5	2231	3
6	M1834	BOQUEST_STEM_CELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_UP.html	Genes up-regulated in freshly isolated CD31- [GeneID=5175] (stromal stem cells from adipose tissue) versus the CD31+ (non-stem) counterparts.	15635089	132/260	Arthur Liberzon	7.50711318310387e-76	4.55056177449146e-73	2780	1600	1809	1.87677829577596e-76	6	2.27971860876768	2.31754264176258	1	76.477201573446	2776	6	1984	1634
7	M14127	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	http://www.broadinstitute.org/gsea/msigdb/cards/HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP.html	Genes up-regulated in multiple myeloma (MM) cell lines treated with both decitabine [PubChem=451668] TSA [PubChem=5562].	18172295	178/461	Jessica Robertson	5.35394212239965e-70	2.78175535702393e-67	710	288.25	218	1.3384855305999e-70	7	2.09638350151257	2.06423090678058	1	64.7018001081104	710	7	424	12
8	M2001	WU_CELL_MIGRATION	http://www.broadinstitute.org/gsea/msigdb/cards/WU_CELL_MIGRATION.html	Genes associated with migration rate of 40 human bladder cancer cells.	18724390	76/184	Jessica Robertson	4.09038725415627e-64	1.85959230542079e-61	3605	1542.75	1279	1.02259681353906e-64	8	2.56637386213762	2.34251956399323	1	72.2749752252869	3605	8	2379	179
9	M8513	SMID_BREAST_CANCER_NORMAL_LIKE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_NORMAL_LIKE_UP.html	Genes up-regulated in the normal-like subtype of breast cancer.	18451135	143/476	Jessica Robertson	6.63317299774105e-63	2.68053891030936e-60	320	330.5	404.5	1.65829324943523e-63	9	2.19971530110341	2.27894824259906	1	60.7669562498001	317	9	504	492
10	M5884	NABA_CORE_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_CORE_MATRISOME.html	Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans	22159717	107/275	Alexandra Naba	3.95599065719039e-61	1.43879380202015e-58	835	1824.75	2015.5	9.88997664297602e-62	10	2.26061463509062	-2.42537729997143	-1	60.6359646673022	834	10	3197	3258
11	M9192	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN.html	Genes down-regulated in luminal-like breast cancer cell lines compared to the mesenchymal-like ones.	16288205	240/460	Arthur Liberzon	3.53137950415932e-59	1.16760247787522e-56	1150	576.25	573	8.82844876039825e-60	11	1.88901179354466	1.88221140929779	1	48.996011982529	1148	11	946	200
12	M17923	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP.html	Genes up-regulated in cultured stromal stem cells from adipose tissue, compared to the freshly isolated cells.	15635089	176/425	Arthur Liberzon	3.91997513028064e-59	1.18807912906922e-56	1545	695.25	612	9.79993782570156e-60	12	2.23466754232856	2.28204655234221	1	57.9536133844188	1545	12	1032	192
13	M1459	PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN.html	Genes down-regulated in BEC (blood endothelial cells) compared to LEC (lymphatic endothelial cells).	12198161	88/162	Kevin Vogelsang	1.76393337538708e-56	4.93494283560215e-54	1295	560.75	469	4.40983343846768e-57	13	2.26533898483786	2.44098242007222	1	55.9983867456285	1292	13	869	69
14	M15472	VECCHI_GASTRIC_CANCER_EARLY_DN	http://www.broadinstitute.org/gsea/msigdb/cards/VECCHI_GASTRIC_CANCER_EARLY_DN.html	Down-regulated genes distinguishing between early gastric cancer (EGC) and normal tissue samples.	17297478	97/367	Arthur Liberzon	3.77814453750295e-55	9.81507977349874e-53	185	272.25	163.5	9.4453613437574e-56	14	2.69067977272389	2.69067977272389	1	64.8923578392511	184	14	143	748
15	M12225	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP.html	Up-regulated genes in angioimmunoblastic lymphoma (AILT) compared to normal T lymphocytes.	18006812	120/205	Arthur Liberzon	7.38601637811088e-55	1.79086277114595e-52	1320	861	1033.5	1.8465040945277e-55	15	2.05986136029366	1.97996890352982	1	49.4291217655172	1317	15	1362	750
16	M17471	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP.html	Genes up-regulated in invasive ductal carcinoma (IDC) relative to ductal carcinoma in situ (DCIS, non-invasive).	16707453	164/351	Arthur Liberzon	1.39778081284847e-54	3.17733051020617e-52	3490	2149	2546.5	3.49445203212117e-55	16	2.02182853143494	1.81991013259727	1	48.2830150276862	3487	16	2679	2414
